Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Mom & Dad,2022-09-27 21:16:43,00:00:13,Autoplayed: user action: None; ,Die Strafe Gottes (Clip): Die Strafe Gottes,HOOK,Samsung CE 2020 Nike-L UHD TV Smart TV,00:00:13,00:00:13,DE (Germany)
Mom & Dad,2022-09-27 19:00:02,02:09:10,Autoplayed: user action: User_Interaction; ,A Beautiful Mind – Genie und Wahnsinn,,Samsung CE 2020 Nike-L UHD TV Smart TV,02:09:11,02:09:11,DE (Germany)
Mom & Dad,2022-09-27 18:58:40,00:00:06,Autoplayed: user action: None; ,A Jazzman's Blues (Clip): A Jazzman's Blues,HOOK,Samsung CE 2020 Nike-L UHD TV Smart TV,00:00:06,00:00:06,DE (Germany)
Mom & Dad,2022-09-26 18:35:22,01:41:17,,Lou,,Samsung CE 2020 Nike-L UHD TV Smart TV,01:41:19,01:41:19,DE (Germany)
Mom & Dad,2022-09-26 18:35:07,00:00:13,Autoplayed: user action: None; ,Lou (Clip 5): Lou,HOOK,Samsung CE 2020 Nike-L UHD TV Smart TV,00:00:13,00:00:13,DE (Germany)
Mom & Dad,2022-09-26 17:33:25,00:00:08,Autoplayed: user action: None; ,1939_hook_primary_16x9,HOOK,FireTV 4K Stick 2018,00:00:08,00:00:08,DE (Germany)
Mom & Dad,2022-09-26 17:32:49,00:00:14,Autoplayed: user action: None; ,Lost Girls PVS Clip 4,HOOK,FireTV 4K Stick 2018,00:00:14,00:00:14,DE (Germany)
Mom & Dad,2022-09-26 17:32:32,00:00:13,Autoplayed: user action: None; ,Teaser: The Harder They Fall,TEASER_TRAILER,FireTV 4K Stick 2018,00:00:13,00:00:13,DE (Germany)
Mom & Dad,2022-09-26 17:32:19,00:00:09,Autoplayed: user action: None; ,Der Baum des Blutes (Trailer),TRAILER,FireTV 4K Stick 2018,00:00:09,00:00:09,DE (Germany)
Mom & Dad,2022-09-26 17:32:06,00:00:09,Autoplayed: user action: None; ,1939_hook_primary_16x9,HOOK,FireTV 4K Stick 2018,00:00:09,Not latest view,DE (Germany)
Mom & Dad,2022-09-26 17:31:57,00:00:06,Autoplayed: user action: None; ,Beasts of No Nation (Trailer),TRAILER,FireTV 4K Stick 2018,00:00:07,00:00:07,DE (Germany)
Mom & Dad,2022-09-26 17:31:44,00:00:05,Autoplayed: user action: None; ,Der weite Weg der Hoffnung (Trailer),TRAILER,FireTV 4K Stick 2018,00:00:05,00:00:05,DE (Germany)
Mom & Dad,2022-09-26 17:31:38,00:00:01,Autoplayed: user action: None; ,Mucize – Wunder,,FireTV 4K Stick 2018,00:00:01,00:00:01,DE (Germany)
Mom & Dad,2022-09-26 17:31:06,00:00:15,Autoplayed: user action: None; ,Teaser 4: The Woman in the Window,TEASER_TRAILER,FireTV 4K Stick 2018,00:00:15,00:00:15,DE (Germany)
Mom & Dad,2022-09-26 17:30:56,00:00:07,Autoplayed: user action: None; ,Clip 2: Spuk in Bly Manor,HOOK,FireTV 4K Stick 2018,00:00:07,00:00:07,DE (Germany)
Mom & Dad,2022-09-26 17:30:41,00:00:12,Autoplayed: user action: None; ,Staffel 3 (Clip): Lost in Space – Verschollen zwischen fremden Welten,HOOK,FireTV 4K Stick 2018,00:00:12,00:00:12,DE (Germany)
